,Date,Day,Territory,Menu Item,Price (SGD),Price (VND),Category,Menu
1,2025/01/24,Fri,Singapore,Prosperity Waffles Platter,8.65,160520.42,What's New,Breakfast Menu
2,2025/01/24,Fri,Singapore,Prosperity Waffles Platter Meal,10.30,191139.92,What's New,Breakfast Menu
3,2025/01/24,Fri,Singapore,McMuffin Stack,7.90,146602.46,What's New,Breakfast Menu
4,2025/01/24,Fri,Singapore,McMuffin Stack Meal,9.70,180005.56,What's New,Breakfast Menu
5,2025/01/24,Fri,Singapore,McMuffin Stack,7.90,146602.46,Burgers & Muffins,Breakfast Menu
6,2025/01/24,Fri,Singapore,McMuffin Stack Meal,9.70,180005.56,Burgers & Muffins,Breakfast Menu
7,2025/01/24,Fri,Singapore,Double Sausage Egg McMuffin®,6.70,124333.74,Burgers & Muffins,Breakfast Menu
8,2025/01/24,Fri,Singapore,Double Sausage Egg McMuffin® Meal,8.50,157736.83,Burgers & Muffins,Breakfast Menu
9,2025/01/24,Fri,Singapore,Sausage Egg McMuffin®,5.30,98353.55,Burgers & Muffins,Breakfast Menu
10,2025/01/24,Fri,Singapore,Sausage Egg McMuffin® Meal,7.10,131756.65,Burgers & Muffins,Breakfast Menu
11,2025/01/24,Fri,Singapore,Double Sausage McMuffin®,5.70,105776.46,Burgers & Muffins,Breakfast Menu
12,2025/01/24,Fri,Singapore,Double Sausage McMuffin® Meal,7.40,137323.83,Burgers & Muffins,Breakfast Menu
13,2025/01/24,Fri,Singapore,Scrambled Egg Burger with Sausage,5.50,102065.01,Burgers & Muffins,Breakfast Menu
14,2025/01/24,Fri,Singapore,Scrambled Egg Burger with Sausage Meal,7.20,133612.37,Burgers & Muffins,Breakfast Menu
15,2025/01/24,Fri,Singapore,Scrambled Egg Burger with Chicken,5.50,102065.01,Burgers & Muffins,Breakfast Menu
16,2025/01/24,Fri,Singapore,Scrambled Egg Burger with Chicken Meal,7.20,133612.37,Burgers & Muffins,Breakfast Menu
17,2025/01/24,Fri,Singapore,Double Filet-O-Fish®,8.15,151241.78,Burgers & Muffins,Breakfast Menu
